point_id,lat,lon,bearing,arm_direction,intersection_idx
pt_000000,39.9705960278152,-75.13395827060708,180,0,0
pt_000001,39.970539523239964,-75.13388905897402,270,90,0
pt_000002,39.97048627136541,-75.13396249787156,0,180,0
pt_000003,39.97054277589645,-75.13403170951145,90,270,0
pt_000004,39.97083057684849,-75.13328608911866,180,0,1
pt_000005,39.970774071868696,-75.13321687780585,270,90,1
pt_000006,39.97072082042553,-75.13329031748414,0,180,1
pt_000007,39.970777325361134,-75.1333595288038,90,270,1
pt_000008,39.97042989872463,-75.13443663743952,180,0,2
pt_000009,39.9703733944373,-75.13436742557774,270,90,2
pt_000010,39.970320142255765,-75.1344408639205,0,180,2
pt_000011,39.97037664649887,-75.13451007578911,90,270,2
pt_000012,39.97099574465285,-75.13442029479799,180,0,3
pt_000013,39.97093924035588,-75.13435108237312,270,90,3
pt_000014,39.970885988186375,-75.13442452134062,0,180,3
pt_000015,39.970942492439164,-75.13449373377233,90,270,3
pt_000016,39.970253108862835,-75.13045322346778,180,0,4
pt_000017,39.97019660217755,-75.13038401510067,270,90,4
pt_000018,39.97014335254808,-75.13045745637586,0,180,4
pt_000019,39.97019985918917,-75.13052666474981,90,270,4
pt_000020,39.97060779114556,-75.12943359614759,180,0,5
pt_000021,39.970551283846625,-75.12936438826746,270,90,5
pt_000022,39.97049803487157,-75.12943783072575,0,180,5
pt_000023,39.970554542126315,-75.12950703861273,90,270,5
pt_000024,39.970708490358795,-75.1307008267368,180,0,6
pt_000025,39.970651983822705,-75.13063161769956,270,90,6
pt_000026,39.97059873403586,-75.13070505927308,0,180,6
pt_000027,39.970655240527755,-75.13077426831715,90,270,6
pt_000028,39.9703124304605,-75.1352884888255,180,0,7
pt_000029,39.97025592668595,-75.13521927637466,270,90,7
pt_000030,39.970202673958205,-75.13529271392238,0,180,7
pt_000031,39.97025917768856,-75.13536192638004,90,270,7
pt_000032,39.971829536957436,-75.13481375598315,180,0,8
pt_000033,39.97177303289761,-75.13474454238106,270,90,8
pt_000034,39.97171978047834,-75.13481798194171,0,180,8
pt_000035,39.97177628449399,-75.13488719555063,90,270,8
pt_000036,39.9702691306241,-75.1344348177794,180,0,9
pt_000037,39.97021262633562,-75.134365606083,270,90,9
pt_000038,39.970159374154775,-75.13443904425333,0,180,9
pt_000039,39.970215878399046,-75.13450825595655,90,270,9
pt_000040,39.96951491413559,-75.13255505581512,180,0,10
pt_000041,39.96945840871529,-75.13248584645146,270,90,10
pt_000042,39.96940515773689,-75.1325592852802,0,180,10
pt_000043,39.96946166311297,-75.1326284946507,90,270,10
pt_000044,39.96931761364641,-75.13314028615184,180,0,11
pt_000045,39.969261108578344,-75.1330710765023,270,90,11
pt_000046,39.96920785722436,-75.13314451465878,0,180,11
pt_000047,39.96926436224824,-75.13321372431514,90,270,11
pt_000048,39.96912722385293,-75.13369947695158,180,0,12
pt_000049,39.96907071912146,-75.13363026703081,270,90,12
pt_000050,39.969017467408605,-75.13370370454291,0,180,12
pt_000051,39.9690739720959,-75.1337729144705,90,270,12
pt_000052,39.96885590316819,-75.13442882640925,180,0,13
pt_000053,39.96879939887569,-75.13435961615814,270,90,13
pt_000054,39.96874614669475,-75.13443305280491,0,180,13
pt_000055,39.96880265094305,-75.13450226306284,90,270,13
pt_000056,39.96862811919017,-75.13114379047352,180,0,14
pt_000057,39.968571612920094,-75.13107458318787,270,90,14
pt_000058,39.96851836284357,-75.13114802216425,0,180,14
pt_000059,39.96857486906946,-75.13121722945674,90,270,14
pt_000060,39.96979045652974,-75.13177762213817,180,0,15
pt_000061,39.96973395064154,-75.13170841314059,270,90,15
pt_000062,39.96968070016211,-75.13178185287691,0,180,15
pt_000063,39.969737206006094,-75.13185106188135,90,270,15
pt_000064,39.96832579979672,-75.13191283758452,180,0,16
pt_000065,39.96826929398949,-75.13184362996708,270,90,16
pt_000066,39.9682160434193,-75.1319170680135,0,180,16
pt_000067,39.968272549182345,-75.13198627563777,90,270,16
pt_000068,39.96814457860315,-75.13238940166049,180,0,17
pt_000069,39.96808807308276,-75.13232019383119,270,90,17
pt_000070,39.96803482220668,-75.13239363130796,0,180,17
pt_000071,39.968091327682906,-75.13246283914408,90,270,17
pt_000072,39.967896788662415,-75.13298143608199,180,0,18
pt_000073,39.96784028349832,-75.13291222801263,270,90,18
pt_000074,39.9677870322422,-75.1329856647572,0,180,18
pt_000075,39.96784353736209,-75.13305487283341,90,270,18
pt_000076,39.96765891095687,-75.13442291964054,180,0,19
pt_000077,39.96760240666046,-75.13435371061423,270,90,19
pt_000078,39.96754915447998,-75.13442714597126,0,180,19
pt_000079,39.96760565873218,-75.1344963550044,90,270,19
pt_000080,39.9672586256417,-75.13621604676656,180,0,20
pt_000081,39.967202122424624,-75.1361468366563,270,90,20
pt_000082,39.96714886909404,-75.1362202701744,0,180,20
pt_000083,39.967205372266896,-75.1362894802915,90,270,20
pt_000084,39.96885961550706,-75.135738407447,180,0,21
pt_000085,39.9688031120029,-75.13566919610247,270,90,21
pt_000086,39.968749858982804,-75.13574263172634,0,180,21
pt_000087,39.968806362442756,-75.13581184307768,90,270,21
pt_000088,39.96708846091734,-75.13028928840207,180,0,22
pt_000089,39.96703195413247,-75.13022008339644,270,90,22
pt_000090,39.96697870459924,-75.13029352137788,0,180,22
pt_000091,39.96703521133995,-75.13036272639035,90,270,22
pt_000092,39.967623779494474,-75.13058508464518,180,0,23
pt_000093,39.9675672728878,-75.13051587884792,270,90,23
pt_000094,39.96751402316652,-75.1305893171763,0,180,23
pt_000095,39.96757052972902,-75.1306585229804,90,270,23
pt_000096,39.96708258563077,-75.13443296059464,180,0,24
pt_000097,39.96702608134025,-75.13436375214731,270,90,24
pt_000098,39.966972829151736,-75.13443718687327,0,180,24
pt_000099,39.96702933339806,-75.13450639532742,90,270,24
pt_000100,39.96875188897843,-75.13514317878666,180,0,25
pt_000101,39.96869538511593,-75.13507396804721,270,90,25
pt_000102,39.96864213247695,-75.13514740402134,0,180,25
pt_000103,39.96869863629526,-75.13521661476763,90,270,25
pt_000104,39.96667025922947,-75.13006588500801,180,0,26
pt_000105,39.96661375230998,-75.12999668061444,270,90,26
pt_000106,39.9665605029188,-75.13007011831883,0,180,26
pt_000107,39.96661700979408,-75.13013932271924,90,270,26
pt_000108,39.96692924861069,-75.13241054635803,180,0,27
pt_000109,39.96687274310268,-75.13234133974967,270,90,27
pt_000110,39.96681949220971,-75.13241477589565,0,180,27
pt_000111,39.96687599767351,-75.13248398251085,90,270,27
pt_000112,39.96889367021289,-75.13043663939311,180,0,28
pt_000113,39.9688371635172,-75.13036743242523,270,90,28
pt_000114,39.968783913894576,-75.13044087224327,0,180,28
pt_000115,39.96884042054607,-75.13051007921797,90,270,28
pt_000116,39.970021788995844,-75.13110924172152,180,0,29
pt_000117,39.969965282705395,-75.1310400330443,270,90,29
pt_000118,39.9699120326549,-75.13111347355492,0,180,29
pt_000119,39.96996853890118,-75.13118268223899,90,270,29
pt_000120,39.96765829256423,-75.1338894384077,180,0,30
pt_000121,39.967601787946656,-75.1338202298259,270,90,30
pt_000122,39.96754853610803,-75.1338936656006,0,180,30
pt_000123,39.96760504068137,-75.13396287418922,90,270,30
pt_000124,39.967582524411064,-75.1289900006784,180,0,31
pt_000125,39.967526016844204,-75.12892079625038,270,90,31
pt_000126,39.96747276814499,-75.12899423578486,0,180,31
pt_000127,39.967529275667644,-75.12906344021971,90,270,31
pt_000128,39.96948034695817,-75.12882895810361,180,0,32
pt_000129,39.969423839294926,-75.12875975187558,270,90,32
pt_000130,39.96937059070417,-75.12883319358869,0,180,32
pt_000131,39.96942709832323,-75.12890239982356,90,270,32
pt_000132,39.96916086021913,-75.1243121411923,180,0,33
pt_000133,39.969104349836975,-75.12424293904837,270,90,33
pt_000134,39.9690511041399,-75.12431638395755,0,180,33
pt_000135,39.96910761447787,-75.12438558610832,90,270,33
pt_000136,39.96948391128408,-75.12333429254178,180,0,34
pt_000137,39.96942740031346,-75.12326509088236,270,90,34
pt_000138,39.969374155243976,-75.12333853690762,0,180,34
pt_000139,39.9694306661704,-75.12340773857389,90,270,34
pt_000140,39.96664682405747,-75.12976855590817,180,0,35
pt_000141,39.966590316959,-75.12969935178586,270,90,35
pt_000142,39.966537067758296,-75.12977278969804,0,180,35
pt_000143,39.966593574812556,-75.12984199382717,90,270,35
pt_000144,39.967041785299145,-75.12869806683958,180,0,36
pt_000145,39.9669852775564,-75.12862886320549,270,90,36
pt_000146,39.96693202904275,-75.12870230238413,0,180,36
pt_000147,39.966988536741304,-75.12877150602503,90,270,36
pt_000148,39.96865197906275,-75.12718512033875,180,0,37
pt_000149,39.96859547040974,-75.12711591632274,270,90,37
pt_000150,39.96854222287012,-75.12718935842892,0,180,37
pt_000151,39.968598731478906,-75.12725856245179,90,270,37
pt_000152,39.96800454871572,-75.12804715901446,180,0,38
pt_000153,39.96794804058143,-75.1279779549409,270,90,38
pt_000154,39.967894792487584,-75.12805139567104,0,180,38
pt_000155,39.967951300577674,-75.12812059975143,90,270,38
pt_000156,39.96737636561336,-75.12889623058796,180,0,39
pt_000157,39.96731985799,-75.12882702644805,270,90,39
pt_000158,39.967266609350304,-75.12890046583313,0,180,39
pt_000159,39.967323116929464,-75.12896966997987,90,270,39
pt_000160,39.96986223188745,-75.1278327430391,180,0,40
pt_000161,39.969805723624646,-75.12776353725084,270,90,40
pt_000162,39.96975247567337,-75.1278369801581,0,180,40
pt_000163,39.96980898389199,-75.12790618595318,90,270,40
pt_000164,39.97091396966225,-75.12842726412472,180,0,41
pt_000165,39.97085746175766,-75.12835805676993,270,90,41
pt_000166,39.97080421342834,-75.12843150034846,0,180,41
pt_000167,39.970860721288744,-75.12850070771009,90,270,41
pt_000168,39.96944755982867,-75.12595938439202,180,0,42
pt_000169,39.969391050438105,-75.1258901805852,270,90,42
pt_000170,39.96933780368621,-75.12596362451288,0,180,42
pt_000171,39.96939431303256,-75.12603282832654,90,270,42
pt_000172,39.96933627935113,-75.12754853684018,180,0,43
pt_000173,39.96927977091708,-75.12747933182442,270,90,43
pt_000174,39.96922652314647,-75.1275527743857,0,180,43
pt_000175,39.9692830315363,-75.1276219794083,90,270,43
pt_000176,39.96888735384935,-75.12730252527926,180,0,44
pt_000177,39.96883084526708,-75.12723332092568,270,90,44
