point_id,lat,lon,bearing,arm_direction,intersection_idx
pt_000000,39.95407147499528,-75.14484134058671,180,0,0
pt_000001,39.95401497696888,-75.14477213673855,270,90,0
pt_000002,39.95396171807666,-75.14484554923754,0,180,0
pt_000003,39.95401821605887,-75.1449147530925,90,270,0
pt_000004,39.95461657867927,-75.14472134931712,180,0,1
pt_000005,39.954560080580634,-75.14465214501341,270,90,1
pt_000006,39.95450682176668,-75.14472555819562,0,180,1
pt_000007,39.954563319821126,-75.14479476250614,90,270,1
pt_000008,39.955279808484065,-75.14620161005567,180,0,2
pt_000009,39.9552233112767,-75.14613240384499,270,90,2
pt_000010,39.95517005151601,-75.14620581658335,0,180,2
pt_000011,39.95522654867919,-75.14627502280082,90,270,2
pt_000012,39.95541598689631,-75.14699384889299,180,0,3
pt_000013,39.95535949016592,-75.14692464188458,270,90,3
pt_000014,39.95530622989799,-75.14699805414891,0,180,3
pt_000015,39.95536272658418,-75.14706726116411,90,270,3
pt_000016,39.95371546877102,-75.15303103755149,180,0,4
pt_000017,39.95365897567556,-75.15296182725444,270,90,4
pt_000018,39.95360571153535,-75.15303523294699,0,180,4
pt_000019,39.95366220458662,-75.1531044432508,90,270,4
pt_000020,39.95413373352976,-75.15294302591988,180,0,5
pt_000021,39.95407724038134,-75.15287381526988,270,90,5
pt_000022,39.95402397629857,-75.15294722148344,0,180,5
pt_000023,39.95408046940281,-75.15301643214023,90,270,5
pt_000024,39.95351455466303,-75.15142869832958,180,0,6
pt_000025,39.953458060602756,-75.15135948956994,270,90,6
pt_000026,39.9534047974886,-75.15143289630183,0,180,6
pt_000027,39.95346129150469,-75.15150210506825,90,270,6
pt_000028,39.95532005785933,-75.14777966405347,180,0,7
pt_000029,39.95526356160206,-75.14771045648922,270,90,7
pt_000030,39.95521030083041,-75.1477838680337,0,180,7
pt_000031,39.95526679704347,-75.14785307560477,90,270,7
pt_000032,39.95321769368772,-75.15314441214436,180,0,8
pt_000033,39.953161200660496,-75.15307520226024,270,90,8
pt_000034,39.95310793644638,-75.15314860732595,0,180,8
pt_000035,39.95316442942941,-75.15321781721684,90,270,8
pt_000036,39.95301264676788,-75.151539754585,180,0,9
pt_000037,39.95295615277446,-75.15147054624438,270,90,9
pt_000038,39.952902889587904,-75.15154395234678,0,180,9
pt_000039,39.952959383537106,-75.1516131606942,90,270,9
pt_000040,39.952821701410926,-75.14992598579656,180,0,10
pt_000041,39.952765206445854,-75.14985677899266,270,90,10
pt_000042,39.952711944292716,-75.1499301861541,0,180,10
pt_000043,39.9527684392136,-75.14999939296479,90,270,10
pt_000044,39.95264217947579,-75.14847215686947,180,0,11
pt_000045,39.95258568363535,-75.14840295145763,270,90,11
pt_000046,39.952532422413206,-75.14847635956502,0,180,11
pt_000047,39.95258891820946,-75.14854556498365,90,270,11
pt_000048,39.952433706705854,-75.14680615533312,180,0,12
pt_000049,39.95237720986233,-75.14673695151934,270,90,12
pt_000050,39.95232394970707,-75.14681036070775,0,180,12
pt_000051,39.95238044650641,-75.14687956452832,90,270,12
pt_000052,39.952117450034514,-75.14426362323819,180,0,13
pt_000053,39.95206095166022,-75.14419442186133,270,90,13
pt_000054,39.952007693133226,-75.14426783270146,0,180,13
pt_000055,39.952064191463315,-75.14433703408514,90,270,13
pt_000056,39.95223921946938,-75.14523038521715,180,0,14
pt_000057,39.95218272167714,-75.14516118291212,270,90,14
pt_000058,39.95212946253101,-75.14523459312588,0,180,14
pt_000059,39.95218596027904,-75.14530379543768,90,270,14
pt_000060,39.95222959451565,-75.15336291290423,180,0,15
pt_000061,39.952173101619955,-75.15329370384516,270,90,15
pt_000062,39.952119837263375,-75.15336710767173,0,180,15
pt_000063,39.95217633011484,-75.1534363167376,90,270,15
pt_000064,39.95213854798988,-75.15173581450698,180,0,16
pt_000065,39.952082054114484,-75.1516666068939,270,90,16
pt_000066,39.952028790800085,-75.15174001189796,0,180,16
pt_000067,39.95208528463127,-75.15180921951783,90,270,16
pt_000068,39.95190936870491,-75.14259357467398,180,0,17
pt_000069,39.95185286932517,-75.14252437489816,270,90,17
pt_000070,39.9517996118677,-75.14259778682283,0,180,17
pt_000071,39.95185611120325,-75.14266698660546,90,270,17
pt_000072,39.95199932606759,-75.14330304888784,180,0,18
pt_000073,39.951942827115005,-75.14323384843027,270,90,18
pt_000074,39.95188956920315,-75.1433072598959,0,180,18
pt_000075,39.95194606811157,-75.14337646036026,90,270,18
pt_000076,39.951352152467905,-75.14343998222779,180,0,19
pt_000077,39.95129565359774,-75.14337078231564,270,90,19
pt_000078,39.951242395596545,-75.14344419297448,0,180,19
pt_000079,39.95129889442253,-75.14351339289344,90,270,19
pt_000080,39.951275390461184,-75.14272848985509,180,0,20
