point_id,lat,lon,bearing,arm_direction,intersection_idx
pt_000000,39.99215609213933,-75.14019652123066,180,0,0
pt_000001,39.99209959133052,-75.14012728242467,270,90,0
pt_000002,39.99204633552301,-75.14020073975179,0,180,0
pt_000003,39.992102836287614,-75.1402699785646,90,270,0
pt_000004,39.99209869404509,-75.1397064545528,180,0,1
pt_000005,39.99204219294121,-75.13963721621319,270,90,1
pt_000006,39.99198893744753,-75.13971067386265,0,180,1
pt_000007,39.99204543850721,-75.13977991220906,90,270,1
pt_000008,39.99204249246896,-75.1392590957869,180,0,2
pt_000009,39.991985991095724,-75.13918985787696,270,90,2
pt_000010,39.99193273588852,-75.13926331581654,0,180,2
pt_000011,39.99198923721754,-75.13933255373331,90,270,2
pt_000012,39.99192445138449,-75.138349911074,180,0,3
pt_000013,39.99186794946383,-75.13828067404114,270,90,3
pt_000014,39.99181469483882,-75.13835413256622,0,180,3
pt_000015,39.99187119671529,-75.1384233696059,90,270,3
pt_000016,39.991860262468236,-75.13784174875094,180,0,4
pt_000017,39.99180376024161,-75.1377725122065,270,90,4
pt_000018,39.991750505942,-75.13784597106074,0,180,4
pt_000019,39.99180700812445,-75.13791520761204,90,270,4
pt_000020,39.99180020782434,-75.13734665207589,180,0,5
pt_000021,39.99174370529962,-75.13727741600475,270,90,5
pt_000022,39.99169045131708,-75.1373508751824,0,180,5
pt_000023,39.9917469537976,-75.13742011126038,90,270,5
pt_000024,39.991637432618816,-75.13615773439874,180,0,6
pt_000025,39.991580929378266,-75.13608849948314,270,90,6
pt_000026,39.991527676157055,-75.1361619594173,0,180,6
pt_000027,39.99158417935341,-75.13623119433973,90,270,6
pt_000028,39.99155267978028,-75.13546401161173,180,0,7
pt_000029,39.991496176122055,-75.13539477735995,270,90,7
pt_000030,39.991442923345076,-75.13546823774658,0,180,7
pt_000031,39.99149942695913,-75.13553747200518,90,270,7
pt_000032,39.991477984430645,-75.1348675423313,180,0,8
pt_000033,39.99142148041329,-75.13479830865215,270,90,8
pt_000034,39.991368228018295,-75.13487176942583,0,180,8
pt_000035,39.991424731991465,-75.13494100311183,90,270,8
pt_000036,39.99140177005632,-75.13433192756405,180,0,9
pt_000037,39.99134526571648,-75.1342626944084,270,90,9
pt_000038,39.99129201366446,-75.13433615551976,0,180,9
pt_000039,39.991348517960105,-75.13440538868225,90,270,9
pt_000040,39.99133149164518,-75.13380251698483,180,0,10
pt_000041,39.99127498698659,-75.13373328434152,270,90,10
pt_000042,39.991221735273584,-75.13380674579209,0,180,10
pt_000043,39.99127823988799,-75.13387597844226,90,270,10
pt_000044,39.99127276072592,-75.13334635922331,180,0,11
pt_000045,39.99121625579269,-75.13327712701957,270,90,11
pt_000046,39.99116300437183,-75.13335058876442,0,180,11
pt_000047,39.99121950926085,-75.13341982097502,90,270,11
pt_000048,39.991214966801046,-75.13289183493201,180,0,12
pt_000049,39.99115846159418,-75.13282260316551,270,90,12
pt_000050,39.991105210464376,-75.13289606520435,0,180,12
pt_000051,39.99116171562706,-75.1329652969777,90,270,12
pt_000052,39.991153937991115,-75.13241879434693,180,0,13
pt_000053,39.991097432499416,-75.13234956303639,270,90,13
pt_000054,39.99104418167255,-75.13242302538023,0,180,13
pt_000055,39.991100687120046,-75.13249225669763,90,270,13
pt_000056,39.9910993904836,-75.13195884117654,180,0,14
pt_000057,39.99104288471501,-75.13188961030444,270,90,14
pt_000058,39.99098963418271,-75.13196307295007,0,180,14
pt_000059,39.99104613990711,-75.132032303829,90,270,14
pt_000060,39.991031303987356,-75.1314362871065,180,0,15
pt_000061,39.990974797904165,-75.13136705673878,270,90,15
pt_000062,39.99092154770649,-75.1314405197206,0,180,15
pt_000063,39.99097805374552,-75.13150975009516,90,270,15
pt_000064,39.99095949174177,-75.13089733857717,180,0,16
pt_000065,39.990902985334095,-75.13082810873128,270,90,16
pt_000066,39.990849735481596,-75.13090157205814,0,180,16
pt_000067,39.99090624184507,-75.13097080191088,90,270,16
pt_000068,39.99072154160126,-75.1289716670813,180,0,17
pt_000069,39.99066503403427,-75.12890243908089,270,90,17
pt_000070,39.990611785415034,-75.12897590366069,0,180,17
pt_000071,39.99066829293781,-75.12904513166795,90,270,17
pt_000072,39.99045384998649,-75.12703038684026,180,0,18
pt_000073,39.99039734125076,-75.12696116072867,270,90,18
pt_000074,39.99034409387472,-75.12703462654142,0,180,18
pt_000075,39.99040060256624,-75.12710385265987,90,270,18
pt_000076,39.99072966675392,-75.14185617496732,180,0,19
pt_000077,39.990673166943324,-75.14178693623485,270,90,19
pt_000078,39.990619910067885,-75.14186039071659,0,180,19
pt_000079,39.990676409834286,-75.14192962945586,90,270,19
pt_000080,39.990645579470296,-75.1412073754773,180,0,20
pt_000081,39.99058907926902,-75.14113813737056,270,90,20
pt_000082,39.99053582280905,-75.14121159227028,0,180,20
pt_000083,39.99059232296613,-75.14128083038382,90,270,20
pt_000084,39.990562445264594,-75.14054410560918,180,0,21
pt_000085,39.99050594466399,-75.14047486813925,270,90,21
pt_000086,39.990452688628736,-75.14054832346933,0,180,21
pt_000087,39.99050918918518,-75.14061756094608,90,270,21
pt_000088,39.99049764927849,-75.14007177988792,180,0,22
pt_000089,39.99044114839346,-75.14000254287717,270,90,22
pt_000090,39.99038789266067,-75.14007599850765,0,180,22
pt_000091,39.9904443935015,-75.14014523552525,90,270,22
pt_000092,39.9904403168831,-75.13961540607822,180,0,23
pt_000093,39.99038381572329,-75.13954616950575,270,90,23
pt_000094,39.99033056028271,-75.13961962543222,0,180,23
pt_000095,39.99038706139834,-75.13968886201151,90,270,23
pt_000096,39.99038257805685,-75.13914694918208,180,0,24
