neighborhood,total_images,images_with_tl,images_with_ss,total_tl_detections,total_ss_detections
CALLOWHILL,288,53,19,124,19
Center City,275,76,12,141,12
CHINATOWN,112,30,2,62,3
EAST_KENSINGTON,475,50,58,97,65
FISHTOWN,1631,79,182,161,191
KENSINGTON,444,44,53,72,56
LOGAN_SQUARE,752,197,40,389,43
OLD_CITY,660,117,24,237,28
POINT_BREEZE,1152,58,122,103,137
RITTENHOUSE,1068,217,46,406,47
SOCIETY_HILL,524,66,22,116,23
UNIVERSITY_CITY,632,219,23,518,26
WASHINGTON_SQUARE_WEST,832,139,25,228,29
WEST_KENSINGTON,1105,136,152,247,165
